run_id,config_id,generator,primary_dial_value,primary_level,secondary_dial_value,secondary_level,proposal_id,population_id,generating_model,network_seed,placement_seed,execution_order
run_003,0,watts_strogatz,0.1,0,6.0,0,aesthetic_objectivity,pop_b2,glm-5.2,3,678778225,60
run_025,3,watts_strogatz,0.3,1,8.0,1,meaning_of_life,pop_a1,deepseek-v4-flash,3004,2624919993,61
run_024,3,watts_strogatz,0.3,1,8.0,1,aesthetic_objectivity,pop_b1,glm-5.2,3003,3041266570,62
run_018,2,watts_strogatz,0.3,1,6.0,0,meaning_of_life,pop_b1,glm-5.2,2004,2916858301,63
run_093,13,sbm,3.0,0,20.0,1,un_veto,pop_b2,glm-5.2,13002,2200550530,64
run_081,11,holme_kim,0.8,2,4.0,1,meaning_of_life,pop_b2,glm-5.2,11004,3087239393,65
run_055,7,holme_kim,0.2,0,4.0,1,shared_workplace,pop_b2,glm-5.2,7006,2700240324,66
run_097,13,sbm,3.0,0,20.0,1,shared_workplace,pop_a1,deepseek-v4-flash,13006,2104476530,67
run_064,9,holme_kim,0.5,1,4.0,1,wealth_tax,pop_c1,gpt-oss-20b,9001,4125081045,68
run_057,8,holme_kim,0.5,1,3.0,0,wealth_tax,pop_b1,glm-5.2,8001,3983650438,69
run_103,14,sbm,10.0,1,10.0,0,regifting,pop_c1,gpt-oss-20b,14005,3741680898,70
run_107,15,sbm,10.0,1,20.0,1,un_veto,pop_b2,glm-5.2,15002,4225056837,71
run_114,16,sbm,50.0,2,10.0,0,un_veto,pop_a1,deepseek-v4-flash,16002,1836264738,72
run_013,1,watts_strogatz,0.1,0,8.0,1,shared_workplace,pop_b1,glm-5.2,1006,3308493335,73
run_094,13,sbm,3.0,0,20.0,1,aesthetic_objectivity,pop_c1,gpt-oss-20b,13003,142461260,74
run_042,6,holme_kim,0.2,0,3.0,0,srma,pop_c2,gpt-oss-20b,6000,2073800887,75
run_026,3,watts_strogatz,0.3,1,8.0,1,regifting,pop_b2,glm-5.2,3005,2938635545,76
run_037,5,watts_strogatz,0.5,2,8.0,1,un_veto,pop_c1,gpt-oss-20b,5002,2411575317,77
run_104,14,sbm,10.0,1,10.0,0,shared_workplace,pop_b2,glm-5.2,14006,3814513065,78
run_078,11,holme_kim,0.8,2,4.0,1,wealth_tax,pop_a2,deepseek-v4-flash,11001,570532364,79
run_106,15,sbm,10.0,1,20.0,1,wealth_tax,pop_b1,glm-5.2,15001,889415012,80
run_032,4,watts_strogatz,0.5,2,6.0,0,meaning_of_life,pop_c1,gpt-oss-20b,4004,4272059894,81
run_035,5,watts_strogatz,0.5,2,8.0,1,srma,pop_a2,deepseek-v4-flash,5000,1008565814,82
run_008,1,watts_strogatz,0.1,0,8.0,1,wealth_tax,pop_b2,glm-5.2,1001,2119226994,83
run_011,1,watts_strogatz,0.1,0,8.0,1,meaning_of_life,pop_c2,gpt-oss-20b,1004,355309193,84
run_082,11,holme_kim,0.8,2,4.0,1,regifting,pop_b1,glm-5.2,11005,1993002011,85
run_019,2,watts_strogatz,0.3,1,6.0,0,regifting,pop_b2,glm-5.2,2005,1226924736,86
run_083,11,holme_kim,0.8,2,4.0,1,shared_workplace,pop_a2,deepseek-v4-flash,11006,1126664826,87
run_038,5,watts_strogatz,0.5,2,8.0,1,aesthetic_objectivity,pop_b2,glm-5.2,5003,1125094323,88
run_044,6,holme_kim,0.2,0,3.0,0,un_veto,pop_a1,deepseek-v4-flash,6002,1679412247,89
run_016,2,watts_strogatz,0.3,1,6.0,0,un_veto,pop_a1,deepseek-v4-flash,2002,536846870,90
run_015,2,watts_strogatz,0.3,1,6.0,0,wealth_tax,pop_a2,deepseek-v4-flash,2001,3638384771,91
run_040,5,watts_strogatz,0.5,2,8.0,1,regifting,pop_c1,gpt-oss-20b,5005,824337301,92
run_124,17,sbm,50.0,2,20.0,1,regifting,pop_c2,gpt-oss-20b,17005,2987755066,93
run_100,14,sbm,10.0,1,10.0,0,un_veto,pop_c2,gpt-oss-20b,14002,413083049,94
run_004,0,watts_strogatz,0.1,0,6.0,0,meaning_of_life,pop_a2,deepseek-v4-flash,4,1994069968,95
run_076,10,holme_kim,0.8,2,3.0,0,shared_workplace,pop_c1,gpt-oss-20b,10006,1693703362,96
run_067,9,holme_kim,0.5,1,4.0,1,meaning_of_life,pop_c2,gpt-oss-20b,9004,4194652207,97
run_054,7,holme_kim,0.2,0,4.0,1,regifting,pop_b1,glm-5.2,7005,1252849175,98
run_029,4,watts_strogatz,0.5,2,6.0,0,wealth_tax,pop_a1,deepseek-v4-flash,4001,1507787585,99
run_096,13,sbm,3.0,0,20.0,1,regifting,pop_a2,deepseek-v4-flash,13005,986653234,100
run_036,5,watts_strogatz,0.5,2,8.0,1,wealth_tax,pop_a1,deepseek-v4-flash,5001,3719228914,101
run_120,17,sbm,50.0,2,20.0,1,wealth_tax,pop_c2,gpt-oss-20b,17001,3634548963,102
run_002,0,watts_strogatz,0.1,0,6.0,0,un_veto,pop_c2,gpt-oss-20b,2,1217449291,103
run_122,17,sbm,50.0,2,20.0,1,aesthetic_objectivity,pop_b2,glm-5.2,17003,1241998724,104
run_121,17,sbm,50.0,2,20.0,1,un_veto,pop_a2,deepseek-v4-flash,17002,3605468321,105
run_072,10,holme_kim,0.8,2,3.0,0,un_veto,pop_b2,glm-5.2,10002,2245823438,106
run_060,8,holme_kim,0.5,1,3.0,0,meaning_of_life,pop_b2,glm-5.2,8004,522863173,107
run_050,7,holme_kim,0.2,0,4.0,1,wealth_tax,pop_c2,gpt-oss-20b,7001,2622937042,108
run_118,16,sbm,50.0,2,10.0,0,shared_workplace,pop_b1,glm-5.2,16006,608158180,109
run_063,9,holme_kim,0.5,1,4.0,1,srma,pop_a2,deepseek-v4-flash,9000,2298177741,110
run_059,8,holme_kim,0.5,1,3.0,0,aesthetic_objectivity,pop_c2,gpt-oss-20b,8003,3417185109,111
run_077,11,holme_kim,0.8,2,4.0,1,srma,pop_b1,glm-5.2,11000,3314047170,112
run_109,15,sbm,10.0,1,20.0,1,meaning_of_life,pop_b1,glm-5.2,15004,494348306,113
run_020,2,watts_strogatz,0.3,1,6.0,0,shared_workplace,pop_a2,deepseek-v4-flash,2006,3945393703,114
run_041,5,watts_strogatz,0.5,2,8.0,1,shared_workplace,pop_c2,gpt-oss-20b,5006,3578638349,115
run_088,12,sbm,3.0,0,10.0,0,meaning_of_life,pop_c1,gpt-oss-20b,12004,1774176135,116
run_111,15,sbm,10.0,1,20.0,1,shared_workplace,pop_c2,gpt-oss-20b,15006,1896254142,117
run_062,8,holme_kim,0.5,1,3.0,0,shared_workplace,pop_c1,gpt-oss-20b,8006,1224000671,118
run_031,4,watts_strogatz,0.5,2,6.0,0,aesthetic_objectivity,pop_b1,glm-5.2,4004,2821221457,119
run_070,10,holme_kim,0.8,2,3.0,0,srma,pop_b2,glm-5.2,10000,4257007392,120
run_075,10,holme_kim,0.8,2,3.0,0,regifting,pop_a1,deepseek-v4-flash,10005,3255937164,121
run_045,6,holme_kim,0.2,0,3.0,0,aesthetic_objectivity,pop_a1,deepseek-v4-flash,6003,1968085592,122
run_017,2,watts_strogatz,0.3,1,6.0,0,aesthetic_objectivity,pop_a2,deepseek-v4-flash,2003,833057424,123
run_099,14,sbm,10.0,1,10.0,0,wealth_tax,pop_b1,glm-5.2,14001,3190591775,124
run_080,11,holme_kim,0.8,2,4.0,1,aesthetic_objectivity,pop_a1,deepseek-v4-flash,11003,2550293049,125
base_000,-1,none,0,0,0,0,srma,pop_a1,deepseek-v4-flash,0,500001,1001
base_001,-1,none,0,0,0,0,wealth_tax,pop_a1,deepseek-v4-flash,0,500002,1002
base_002,-1,none,0,0,0,0,un_veto,pop_a1,deepseek-v4-flash,0,500003,1003
base_003,-1,none,0,0,0,0,aesthetic_objectivity,pop_a1,deepseek-v4-flash,0,500004,1004
base_004,-1,none,0,0,0,0,meaning_of_life,pop_a1,deepseek-v4-flash,0,500005,1005
base_005,-1,none,0,0,0,0,regifting,pop_a1,deepseek-v4-flash,0,500006,1006
base_006,-1,none,0,0,0,0,shared_workplace,pop_a1,deepseek-v4-flash,0,500007,1007
base_007,-1,none,0,0,0,0,srma,pop_a2,deepseek-v4-flash,0,500008,1008
base_008,-1,none,0,0,0,0,wealth_tax,pop_a2,deepseek-v4-flash,0,500009,1009
base_009,-1,none,0,0,0,0,un_veto,pop_a2,deepseek-v4-flash,0,500010,1010
base_010,-1,none,0,0,0,0,aesthetic_objectivity,pop_a2,deepseek-v4-flash,0,500011,1011
base_011,-1,none,0,0,0,0,meaning_of_life,pop_a2,deepseek-v4-flash,0,500012,1012
base_012,-1,none,0,0,0,0,regifting,pop_a2,deepseek-v4-flash,0,500013,1013
base_013,-1,none,0,0,0,0,shared_workplace,pop_a2,deepseek-v4-flash,0,500014,1014
base_014,-1,none,0,0,0,0,srma,pop_b1,glm-5.2,0,500015,1015
base_015,-1,none,0,0,0,0,wealth_tax,pop_b1,glm-5.2,0,500016,1016
base_016,-1,none,0,0,0,0,un_veto,pop_b1,glm-5.2,0,500017,1017
base_017,-1,none,0,0,0,0,aesthetic_objectivity,pop_b1,glm-5.2,0,500018,1018
base_018,-1,none,0,0,0,0,meaning_of_life,pop_b1,glm-5.2,0,500019,1019
base_019,-1,none,0,0,0,0,regifting,pop_b1,glm-5.2,0,500020,1020
base_020,-1,none,0,0,0,0,shared_workplace,pop_b1,glm-5.2,0,500021,1021
base_021,-1,none,0,0,0,0,srma,pop_b2,glm-5.2,0,500022,1022
base_022,-1,none,0,0,0,0,wealth_tax,pop_b2,glm-5.2,0,500023,1023
base_023,-1,none,0,0,0,0,un_veto,pop_b2,glm-5.2,0,500024,1024
base_024,-1,none,0,0,0,0,aesthetic_objectivity,pop_b2,glm-5.2,0,500025,1025
base_025,-1,none,0,0,0,0,meaning_of_life,pop_b2,glm-5.2,0,500026,1026
base_026,-1,none,0,0,0,0,regifting,pop_b2,glm-5.2,0,500027,1027
base_027,-1,none,0,0,0,0,shared_workplace,pop_b2,glm-5.2,0,500028,1028
base_028,-1,none,0,0,0,0,srma,pop_c1,gpt-oss-20b,0,500029,1029
base_029,-1,none,0,0,0,0,wealth_tax,pop_c1,gpt-oss-20b,0,500030,1030
base_030,-1,none,0,0,0,0,un_veto,pop_c1,gpt-oss-20b,0,500031,1031
base_031,-1,none,0,0,0,0,aesthetic_objectivity,pop_c1,gpt-oss-20b,0,500032,1032
base_032,-1,none,0,0,0,0,meaning_of_life,pop_c1,gpt-oss-20b,0,500033,1033
base_033,-1,none,0,0,0,0,regifting,pop_c1,gpt-oss-20b,0,500034,1034
base_034,-1,none,0,0,0,0,shared_workplace,pop_c1,gpt-oss-20b,0,500035,1035
base_035,-1,none,0,0,0,0,srma,pop_c2,gpt-oss-20b,0,500036,1036
base_036,-1,none,0,0,0,0,wealth_tax,pop_c2,gpt-oss-20b,0,500037,1037
base_037,-1,none,0,0,0,0,un_veto,pop_c2,gpt-oss-20b,0,500038,1038
base_038,-1,none,0,0,0,0,aesthetic_objectivity,pop_c2,gpt-oss-20b,0,500039,1039
base_039,-1,none,0,0,0,0,meaning_of_life,pop_c2,gpt-oss-20b,0,500040,1040
base_040,-1,none,0,0,0,0,regifting,pop_c2,gpt-oss-20b,0,500041,1041
base_041,-1,none,0,0,0,0,shared_workplace,pop_c2,gpt-oss-20b,0,500042,1042
